Username,CreatedAt,AvatarUrl,Id,Contributions,JavaScript,Python,Java,C#,PHP,TypeScript,Ruby,C++,C,Swift,Go,Shell,Kotlin,Rust,PowerShell,Objective-C,R,MATLAB,Dart,Vue,Assembly,Sass,CSS,HTML,Pascal,Racket,Zig,Other
mattrudder,2008-04-16T15:53:39Z,https://avatars.githubusercontent.com/u/7583?v=4,2,155,259330,34196,28432,193457,0,0,2202,55241329,254237,0,0,139782,0,23049,5603,19871,0,0,0,0,0,0,0,0,0,0,0,28734
escobera,2008-05-05T13:56:21Z,https://avatars.githubusercontent.com/u/9344?v=4,2,20,0,0,0,0,0,0,0,54870,2289,0,0,6300,0,24958,0,0,0,0,0,0,0,0,0,0,0,0,0,958560
dmathieu,2008-05-05T14:29:08Z,https://avatars.githubusercontent.com/u/9347?u=ade95e23ea06fc13514de6a7bb9bf7b5b90d37a5&v=4,1,799,868631,39544,0,0,0,0,16212317,0,123470,0,113576859,1961870,0,0,146830,0,0,0,0,0,2773642,0,60438,2716424,0,0,0,167389
wuyuntao,2008-05-20T11:21:54Z,https://avatars.githubusercontent.com/u/10858?v=4,1,0,199146,9910,6034,4170665,0,0,1260,404420,67900,0,0,283,0,0,2801,0,0,0,0,0,0,0,0,0,0,0,0,337111
mataki,2008-05-20T11:25:49Z,https://avatars.githubusercontent.com/u/10861?v=4,2,2,2761,0,0,0,0,0,476887,0,38,0,0,98037,0,0,0,0,111998,0,0,0,0,0,2214,107764,0,0,0,5021225
dball,2008-06-05T23:09:15Z,https://avatars.githubusercontent.com/u/12763?v=4,2,171,0,0,0,0,0,0,0,0,0,0,202736,0,0,57233,0,0,0,0,0,0,0,0,0,0,0,0,0,107110
travislopes,2008-06-06T00:39:27Z,https://avatars.githubusercontent.com/u/12767?u=8ebcabade800ab04e56ed421aa232351e516dcbf&v=4,1,562,0,0,0,0,24669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
Bluebie,2008-06-06T01:02:29Z,https://avatars.githubusercontent.com/u/12768?u=6bdd441db6a38e7b68a30e19742198847b076a98&v=4,2,1205,564843,0,0,0,0,0,48221,0,0,0,0,5894,0,0,0,0,0,0,0,0,0,0,17009,78686,0,0,0,0
singpolyma,2008-06-06T01:11:32Z,https://avatars.githubusercontent.com/u/12770?v=4,2,182,0,0,0,0,101421,0,679,0,51285,0,0,0,0,0,0,0,0,0,0,0,2323,0,0,0,0,0,0,27077
jkebinger,2008-06-06T02:04:13Z,https://avatars.githubusercontent.com/u/12771?v=4,2,586,0,0,341394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
janmejay,2008-06-06T03:35:04Z,https://avatars.githubusercontent.com/u/12777?u=7cfd29dd5ec65a6dbc5a63d1a95647066e214c8e&v=4,2,166,381972,241549,1445621,0,0,0,3326,3711116,5504263,0,0,2104868,0,0,0,0,0,0,0,0,0,0,8747,658,0,0,0,425419
courtland,2008-06-06T03:58:27Z,https://avatars.githubusercontent.com/u/12778?u=14601144f28d85f998ec6a7403f849b33e9b1c65&v=4,2,19,848212,2580377,0,0,0,0,26537972,0,0,0,0,21187,0,0,0,0,0,0,0,0,0,0,60438,94978,0,0,0,6175
meyer,2008-06-15T08:17:26Z,https://avatars.githubusercontent.com/u/13781?u=d83555a8fc24c19e85eca39401b9f0ab46b6ae0c&v=4,2,605,18795,0,0,0,0,287696,5965,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superjudge,2008-06-29T14:06:25Z,https://avatars.githubusercontent.com/u/15456?v=4,1,58,1518084,0,57576,0,0,0,0,16450041,6689413,0,0,14591,0,0,0,63202,2856,0,0,0,0,0,179,1278616,0,0,0,3359700
